ID,Temperature1,Temperature2,Speed,Time,Num,Y1,Y2,Y3,T1,T2,A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,G1,G2,H1,H2,I1,I2,J1,J2,K1,K2,L1,L2,M1,M2
5010,80,44,0,265,-1,-1,-1,11,1,PlaceHolder,439.3,PHA,262.5,TPPe,387.4,TBAB,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5011,54,103,15,135,-1,-1,-1,11,1,PlaceHolder,164,tetralin,300.9,LA,19.9,TBP,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5012,169,56,0,457,-1,-1,-1,11,1,PlaceHolder,197.6,NH4Ac,219.3,NH3-H2O,261.5,OLA-HI,84.1,ODT,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5013,80,5,0,271,-1,-1,-1,11,1,PlaceHolder,122,DODA,167,CYPHOS104,171.5,TDPA,287.4,MXY,487.5,OLA-HBr,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5014,164,14,0,352,-1,-1,-1,11,1,PlaceHolder,306.3,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5015,85,23,0,327,-1,-1,-1,11,1,PlaceHolder,287,NA_,379.1,OLOH,405.4,ODPOA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5016,107,140,14,271,-1,-1,-1,11,1,PlaceHolder,303.1,HPA,424.5,NMP,33.6,GLU,72.7,NEt3,305.1,NVP,367.6,LC,344.4,DOPO,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5017,58,17,0,267,-1,-1,-1,11,1,PlaceHolder,58.5,TBAB,316.2,SDS,234.9,HLAM,56.8,LCEE,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5018,68,5,0,410,-1,-1,-1,11,1,PlaceHolder,436.7,DMF,433.2,SDS,224.4,TA,187.7,DT,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5019,95,101,15,468,-1,-1,-1,11,1,PlaceHolder,207.2,ELA,100.8,AMNP,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5020,161,129,0,305,-1,-1,-1,11,1,PlaceHolder,50.4,OLA,102.4,THPC,254.4,CFA,303.4,OLA-HI,273,luminol,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5021,112,92,0,493,-1,-1,-1,11,1,PlaceHolder,237,HDA,134.2,hexane,247.6,TOAB,147.9,DPE,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5022,188,57,0,328,-1,-1,-1,11,1,PlaceHolder,168.9,NH2OH,306.6,TGA,482.4,HYD,421,TBP,194.1,tetralin,480.6,HEOH,316.7,PA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5023,124,173,15,489,-1,-1,-1,11,1,PlaceHolder,284.3,LAA,211.9,DOA,200,EOT,378,HDAC,286.9,TDPA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5024,7,22,5,467,-1,-1,-1,11,1,PlaceHolder,181.1,DCB,212.2,OCT-HCl,364.7,ODOH,471.6,TGA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5025,147,24,0,10,-1,-1,-1,11,1,PlaceHolder,122,diglyme,353.1,Na-HDS,117.1,HS,300.2,SDS,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5026,10,197,7,194,-1,-1,-1,11,1,PlaceHolder,289.7,HMT,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5027,192,95,0,200,-1,-1,-1,11,1,PlaceHolder,322,TBOH,493.3,OCTA,240.4,PL,285.9,TDE,483.8,Na-CIT,28.7,OCT-HCl,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5028,9,4,0,40,-1,-1,-1,11,1,PlaceHolder,482.2,EMIMES,26.2,LC,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5029,92,151,13,309,-1,-1,-1,11,1,PlaceHolder,203.5,EG,371.9,toluene,308.5,CTAB,468.1,LCEE,372.8,ethanol,339.4,EOT,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5030,62,79,15,275,-1,-1,-1,11,1,PlaceHolder,386.8,DEA,44.5,PA,189,HD,37.9,PEG,395,OA,103,HDT,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5031,40,189,3,62,-1,-1,-1,11,1,PlaceHolder,365.1,HDE,493.4,octane,162.4,THF,69,BMIM-Tf2N,125.8,NVP,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5032,108,90,0,140,-1,-1,-1,11,1,PlaceHolder,447.1,BBA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5033,14,106,13,391,-1,-1,-1,11,1,PlaceHolder,315.8,TOAB,12.4,DA,165.8,MXY,125.5,OCT-HBr,270.2,ethanol,182.7,DE,339.1,HYD,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5034,103,157,8,494,-1,-1,-1,11,1,PlaceHolder,115.3,OCT,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5035,183,179,0,182,-1,-1,-1,11,1,PlaceHolder,499.2,DDE,240.6,TOPO,500,LA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5036,25,19,0,449,-1,-1,-1,11,1,PlaceHolder,266.8,PVP,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5037,68,154,9,50,-1,-1,-1,11,1,PlaceHolder,420.6,DDL,461.2,DODA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5038,62,0,0,149,-1,-1,-1,11,1,PlaceHolder,365.7,TBP,72.8,THPC,87,TFA,424.7,ODOH,119.4,GBL,146.1,TDOL,50.6,PEG,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5039,72,145,10,269,-1,-1,-1,11,1,PlaceHolder,165.5,DOA,200.2,CYH,195.4,DHPA,35.5,ethanol,35.9,MXY,380.7,OT,283.6,OCEA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5040,13,149,16,363,-1,-1,-1,11,1,PlaceHolder,239.9,TBAC,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5041,70,25,0,458,-1,-1,-1,11,1,PlaceHolder,97.8,MHA,95.9,BEA,127.7,CFA,454,ODPIA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5042,33,15,0,114,-1,-1,-1,11,1,PlaceHolder,303,AMNP,238.9,NMP,463.3,ODT,77.7,DIP,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5043,200,18,0,14,-1,-1,-1,11,1,PlaceHolder,233.1,TBP,21.2,Na-CIT,26.1,CITA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5044,165,181,13,472,-1,-1,-1,11,1,PlaceHolder,159.1,EAC,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5045,163,160,0,276,-1,-1,-1,11,1,PlaceHolder,109.9,TBPT,2.1,NA_,196.5,HDA-HCl,189.7,TOAB,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5046,96,181,11,19,-1,-1,-1,11,1,PlaceHolder,116,DHPA,85.4,OLA-HBr,27.4,HDE,278.9,mesitylene,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5047,113,123,13,35,-1,-1,-1,11,1,PlaceHolder,210.3,DPE,499.5,TOP,498,BEA,39.5,HT,331.4,HDA-HI,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5048,50,141,6,395,-1,-1,-1,11,1,PlaceHolder,2.2,DEG,483.4,HDT,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5049,2,40,18,309,-1,-1,-1,11,1,PlaceHolder,304.4,HD,8.3,DMF,36.9,EAC,447.9,OCT-HBr,257.6,TOP,314.9,TBT,40.9,TTA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5050,194,81,0,387,-1,-1,-1,11,1,PlaceHolder,418.2,TTA,325.2,TBA,278.4,HDA-HCl,48.3,TDPA,428.1,TPPe,307.2,DT,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5051,2,25,15,427,-1,-1,-1,11,1,PlaceHolder,484,PEG,171.2,PA,359.9,CH2Cl2,48.6,BA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5052,177,127,0,144,-1,-1,-1,11,1,PlaceHolder,211.3,EOT,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5053,107,151,20,350,-1,-1,-1,11,1,PlaceHolder,153.9,TPPe,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5054,39,132,14,347,-1,-1,-1,11,1,PlaceHolder,40,OA,374.6,MHA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5055,40,53,9,403,-1,-1,-1,11,1,PlaceHolder,271.5,NVP,209.5,luminol,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5056,29,131,12,253,-1,-1,-1,11,1,PlaceHolder,239,TBOH,305.4,MLA,294.1,EMIMES,30.7,HMDS,314.8,DMSO,69.6,DEG,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5057,92,194,5,96,-1,-1,-1,11,1,PlaceHolder,430.7,BPCA,264.5,OA,133.4,luminol,139.1,OPA,124,NA_,312.2,TDPA,273.3,EAC,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5058,13,116,5,354,-1,-1,-1,11,1,PlaceHolder,297.3,HDE,118.3,NH4Ac,29,TDOH,92,HDT,489.3,HDAC,320.1,t-DT,216.8,ODE,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5059,50,32,0,254,-1,-1,-1,11,1,PlaceHolder,404.3,PD,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5060,157,29,0,206,-1,-1,-1,11,1,PlaceHolder,339,ISA,161,NH2OH,91.1,ACN,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5061,131,132,6,65,-1,-1,-1,11,1,PlaceHolder,226.9,LAA,246.2,BuMgCl,141.4,TEG,478.6,OCTA,338.6,DHPA,451.7,DODA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5062,95,119,18,83,-1,-1,-1,11,1,PlaceHolder,40,THPC,289.7,mesitylene,321.8,OCTA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5063,152,161,19,66,-1,-1,-1,11,1,PlaceHolder,410.9,OCT-HCl,257.4,ODPIA,353.9,DOPA,46.3,NH2OH,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5064,132,141,15,152,-1,-1,-1,11,1,PlaceHolder,289.1,PEG,239.1,H2O,456.4,luminol,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5065,80,136,1,303,-1,-1,-1,11,1,PlaceHolder,329.5,DIEA,407.6,DODA,363.3,CYPHOS104,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5066,90,148,20,464,-1,-1,-1,11,1,PlaceHolder,256.4,TMNO,408.6,DA,268.3,TDE,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5067,199,151,0,204,-1,-1,-1,11,1,PlaceHolder,115.5,LAA,142.7,TBOH,291.4,THF,498.9,TEG,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5068,2,114,10,43,-1,-1,-1,11,1,PlaceHolder,139.3,HMDS,427.8,DBA,91.9,OCT-HCl,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5069,34,29,0,100,-1,-1,-1,11,1,PlaceHolder,19.5,t-DT,3.3,DMF,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5070,138,11,0,443,-1,-1,-1,11,1,PlaceHolder,491.4,OCT-HBr,42.8,OLA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5071,162,146,0,217,-1,-1,-1,11,1,PlaceHolder,77.9,DDL,114.1,EOT,446.6,HDA-HCl,332.3,DBE,319.4,PEG,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5072,71,200,9,7,-1,-1,-1,11,1,PlaceHolder,81.1,TEG,486.5,OLA,295.9,ODA,228,DBE,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5073,17,18,2,168,-1,-1,-1,11,1,PlaceHolder,436.2,LC,310,mesitylene,200.4,CFA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5074,1,25,4,175,-1,-1,-1,11,1,PlaceHolder,438.3,HEOH,336,EOT,60,PD,350.8,CH2Cl2,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5075,168,172,4,219,-1,-1,-1,11,1,PlaceHolder,214.6,MXY,242.4,TELA,4.9,TOPO,396,OPA,462.9,decyne,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5076,111,185,3,41,-1,-1,-1,11,1,PlaceHolder,254.3,NLA,459,TCB,50.2,TPPe,169.8,MXY,465.2,HDD,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5077,51,35,0,56,-1,-1,-1,11,1,PlaceHolder,372,NVP,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5078,43,68,17,198,-1,-1,-1,11,1,PlaceHolder,207.3,LCEE,100.5,MA,281.8,LA,150.2,DCE,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5079,102,106,20,264,-1,-1,-1,11,1,PlaceHolder,447.2,HS,269.4,HMDS,155.6,DPE,41.5,DOA,309.7,NH2OH,461.7,ethanol,394.8,OLOH,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5080,137,65,0,426,-1,-1,-1,11,1,PlaceHolder,345.1,tetralin,91.3,DPP,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5081,39,180,2,433,-1,-1,-1,11,1,PlaceHolder,349.9,H2O,373,DCE,465.7,HDAC,247.1,DEG,451.6,PL,95.9,MHA,334.5,TTA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5082,16,135,8,194,-1,-1,-1,11,1,PlaceHolder,336.2,PA,4.2,TBPT,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5083,167,47,0,378,-1,-1,-1,11,1,PlaceHolder,68.1,DHPA,450.6,N-DPT,183.9,DBA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5084,73,49,0,372,-1,-1,-1,11,1,PlaceHolder,484.7,DOPA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5085,119,122,14,154,-1,-1,-1,11,1,PlaceHolder,461.4,SDS,188.8,DHPA,281.3,t-DT,200.2,DPP,96.1,ACN,262.3,PEG,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5086,41,171,7,492,-1,-1,-1,11,1,PlaceHolder,301.6,BMIM-Tf2N,153.4,decyne,234.2,EHA,460,TDOH,224.2,TBPT,18,DOPO,171.2,TELA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
5087,197,52,0,109,-1,-1,-1,11,1,PlaceHolder,158.5,HAc,102,CH2Cl2,491.1,DDE,417,TEG,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder
